,text,term,polarity
469,"It is well worth the money it cost, Very good investment.",cost,1
470,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Starter,0
471,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Home Premium,0
472,"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Professional,0
473,This computer had exactly the specifications I needed.,specifications,1
474,My kids (and dogs) destroyed two power cords by pulling on them.,power cords,0
475,"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",multi-touch features,1
476,"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",screen,-1
477,"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",clicking buttons,-1
478,"Not to mention, the battery life is absolutely amazing.",battery life,1
479,Windows also shuts the computer down for no reason without warning.,Windows,-1
480,not using wired lan not sure what thats about.,wired lan,0
482,Now for the hardware problems.,hardware,-1
483,Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,hard drive,-1
484,It's fast and has excellent battery life.,battery life,1
485,Apple care included.,Apple care,0
486,Features like the font are very block-like and old school.,font,-1
487,Features like the font are very block-like and old school.,Features,-1
488,"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",programs,-1
489,"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",run,-1
490,"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.",plastic pieces,-1
491,"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",2GB RAM stick,0
492,Windows is also rather unsteady on its feet and is susceptible to many bugs.,Windows,-1
493,"After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.",Microsoft Word for Mac,0
494,DO NOT BUY GATEWAY COMPUTERS THEY ARE JUNK AND THE WARRANTY COMPANY IS HORRIBLE.,WARRANTY COMPANY,-1
495,then on top of it all their cusromer service center is in the middle east.,cusromer service center,-1
496,The only bad part is the size/weight.,size,-1
497,The only bad part is the size/weight.,weight,-1
498,The little battery that it did have would only last about an hour while just having it on the desktop.,battery,-1
499,I liked the aluminum body.,aluminum body,1
500,Its good for playing my apps on Facebook or watching movies.,watching movies,1
501,Its good for playing my apps on Facebook or watching movies.,playing,1
502,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",build quality,-1
503,"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",performance,-1
504,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",dock,1
505,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,0
506,"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,1
507,pretty much everything else about the computer is good it just stops working out of no were.,working,-1
508,It was truly a great computer costing less than one thousand bucks before tax.,costing,1
509,"Waiting for the i7 was well worth it, great value for the price.",price,1
510,"Waiting for the i7 was well worth it, great value for the price.",i7,1
511,"Now,,,,,my monitor has been acting up for about 2 months.",monitor,-1
512,"Also, the extended warranty was a problem.",extended warranty,-1
513,Boots up fast and runs great!,Boots up,1
514,Boots up fast and runs great!,runs,1
515,Lightweight and the screen is beautiful!,screen,1
516,I needed a driver for my HP and they would not help me with out me paying over $50 for it.,driver,0
517,"Call tech support, standard email the form and fax it back in to us.",tech support,0
518,They sent it back with a huge crack in it and it still didn't work.,work,-1
519," A coupla months later, they change my hard drive.",hard drive,-1
520,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,1
521,"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,1
522,They say sorry out of warranty.,warranty,-1
523,I bought this laptop because of the performance to price ratio.,performance,1
524,I bought this laptop because of the performance to price ratio.,price,1
525,PC never worked right even after BIOS fixed.,BIOS,-1
526,"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",design,1
527,"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",tech issues,1
528,The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,size,1
529,The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,space,-1
530,The service I received from Toshiba went above and beyond the call of duty.,service,1
531,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",memory,-1
532,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",speed,-1
533,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",priced,-1
534,I would recommend it just because of the internet speed probably because thats the only thing i really care about.,internet speed,1
535,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",programs,0
536,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Garageband,0
537,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Photo Booth,0
538,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iPhoto,0
539,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iMovie,0
540,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",video-editing,0
541,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",movie-making,0
542,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",photo management,0
543,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",music,0
544,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Pages,0
545,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Numbers,0
546,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Keynote,0
547,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",school or office use,0
548,The screen shows great colors.,screen,1
549,The screen shows great colors.,colors,1
550,"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,1
551,"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",price,1
552,"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,1
553,"I have no idea how to burn cd's or to use the web cam, just for starters.",web cam,0
554,"I have no idea how to burn cd's or to use the web cam, just for starters.",burn cd's,0
555,"The 17 inch screen is very large, but the computer is very light.",17 inch screen,-1
556,"  My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,-1
557,"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Bluetooth,0
558,"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Drivers/Applications DVD,0
559,"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Launch Manager,0
560,I also liked the glass screen.,glass screen,1
561,The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,1
562,The switchable graphic card is pretty sweet when you want gaming on the laptop.,gaming,0
563,"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.",service,-1
564,"The battery life has not decreased since I bought it, so i'm thrilled with that.",battery life,1
565,"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",technical support,-1
566,I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.,BOOT MGR,0
567,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd,-1
568,The price and features more than met my needs.,price,1
569,The price and features more than met my needs.,features,1
570,Skype is just so dang cool with this machine too.,Skype,1
571,the mouse buttons are hard to push.,mouse buttons,-1
572,"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD,1
573,"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",rails,0
574,"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",hard drive,0
575,All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,1
576,"(Beware, their staff could send you back making you feel that only they know what a computer is.",staff,-1
577,Games being the main issue.,Games,-1
578,My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,GarageBand,0
579,They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,warranty,-1
580,They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,hard drive,0
581,and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,-1
582,A great computer for light home use and business use.,home use,1
583,A great computer for light home use and business use.,business use,1
584,"Even with virus protection, it always turned off when updates were needed and installed.",virus protection,-1
585,"Even with virus protection, it always turned off when updates were needed and installed.",updates,-1
586,"Also consider the MS Office apps are all trial versions, hope you have your own copies.",MS Office apps,-1
587,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",feature,1
588,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",Windows,1
589,"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",games,0
590,The battery life is amazingly long at 7hrs and 5hrs if you use it.,battery life,1
591,"lightweight, long battery life, excellent transition from PC;",battery life,1
592,The price is another driving influence that made me purchase this laptop.,price,1
593,The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,Nortons virus scan,-1
594,It is stamped and not in pieces therefore it is a stronger more resilient frame.,frame,1
595,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,features,1
596,I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,use,1
597,Came fully loaded - good.,loaded,1
598,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Windows 7,0
599,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Vista,0
600,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Vista,-1
601,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",windows,0
603,"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",Vista,0
604,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",key broad,-1
605,"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.",warranty,-1
606,"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.","repair ""depot""",-1
607,  But I needed a laptop for school use.,school use,0
608,This is the complete opposite to an ergonomic design.,design,-1
609,I would like at least a 4 hr. battery life.,battery life,0
610,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,programs,-1
611,"Wireless has not been a issue for me, like some others have meantioned.",Wireless,1
612,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life,-1
613,"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",programs,-1
614,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",trackpad,1
615,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",programs,1
616,"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",navigating,1
617,I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers,1
618,I guess the only good thing that came out of these were the speakers and the subwoofer.,subwoofer,1
619,Theres a built in camera with special effects- for video and photography.,built in camera,1
620,All for such a great price.,price,1
621,"  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",warranty,0
622,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,left mouse key,-1
623,Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,costed,0
624,It has good speed and plenty of hard drive space.,speed,1
625,It has good speed and plenty of hard drive space.,hard drive space,1
626,Clear picture on it and everything.,picture,1
627,"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranty,0
628,"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranties,0
629,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,battery,1
630,"Screen is awesome, battery life is good.",Screen,1
631,"Screen is awesome, battery life is good.",battery life,1
632,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,appearance,1
633,The technical service for dell is so 3rd world it might as well not even bother.,technical service for dell,-1
634,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,graphics,-1
635,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,warranty,-1
636,"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",battery,-1
637,"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.",case,1
638,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",performance,0
639,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",price,1
640,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",look,1
641,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",applications,1
642,Excellent speed for processing data.,speed,1
643,When you call tech support you were routed to someone who was in another country and did not know what they were doing.,tech support,-1
644,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming,1
645,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",use,1
646,I was taught to use Photoshop and was amazed.,Photoshop,1
647,Somehow the system clock got messed up after reboot.,system clock,-1
648,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",RAM,-1
649,With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,securitysoftware,1
650,"The driver updates don't fix the issue, very frustrating.",driver updates,-1
651,I will never go back to Windows!,Windows,-1
652,It doesnt work worth a damn.,work,-1
653,It works really well.,works,1
654,"Bigger HD, better graphics card, and a bid HD.",HD,1
655,"Bigger HD, better graphics card, and a bid HD.",HD,1
656,"Bigger HD, better graphics card, and a bid HD.",graphics card,1
657,The built in camera is very useful when chatting with other techs in remote buildings on our campus.,built in camera,1
658,"Mine came at $1,700 w/o a DVD burner (!).",DVD burner,-1
659,The DVD burner broke after burning 3 DVD'd during that time!,DVD burner,-1
660,It works fine with our wireless and they've had not problems.,works,1
661,But you must get the 15 inch.,15 inch,1
662,Product support very poor as each phone call costs me long distan,Product support,-1
663,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",screen,1
664,"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",use,1
665,  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,casing of the power cord,-1
666,It does not keep internet signals no matter where you bring it.,internet signals,-1
667,It's a great product for a great price!,price,1
668,"Again, the same problem, the right speaker did not work.",right speaker,-1
670,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,software,1
671,But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,updates,1
672,and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.,multiple page viewer,1
673,This was the 3rd day and part still had not been shipped.,shipped,-1
674,Keyboard good sized and wasy to use.,Keyboard,1
675,Keyboard good sized and wasy to use.,use,1
676,HP said it was out of warranty.,warranty,0
677,"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.",quality,-1
678,wonderful features.,features,1
679,I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.,recovery disk,-1
680,Im glad that it has such great features in it.,features,1
681,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,programs,1
682,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,Office,-1
683,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,Office programs,0
684,Great wifi too.,wifi,1
685,"WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES.",TYPING,-1
686,"  Only a few days after I received the computer back, the screen froze again.",screen,-1
687,It is not ideal for children because of the temp.,temp,-1
688,Although i do believe that Windows operating system may be to fault for some of the problems.,Windows operating system,-1
689,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,1
690,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",processor speed,1
691,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",thunderbolt port,1
692,  The lcd screen stopped working on mine after 10 months.,lcd screen,-1
693,Images are crisp and clean.,Images,1
694,although its windows vista compared to windows xp sucks.,windows vista,-1
695,although its windows vista compared to windows xp sucks.,windows xp,1
696,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Vista,-1
697,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Adobe Flash player,-1
698,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Internet Explore,-1
699,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Windows update,-1
700,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",update,-1
701,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,-1
702,with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,-1
703,"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10",4GB stick of RAM,1
704,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,hardrive,-1
705,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,touch control buttons,-1
706,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,keyboard,-1
707,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,performance,1
708,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iLife software,1
709,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iPhoto,1
710,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iMovie,1
711,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iWeb,1
712,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iTunes,1
713,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",GarageBand,1
714,"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",runs,1
715,At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,system board,-1
716,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",size,0
717,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",software,0
718,"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",hardware,0
719,"It has plenty of memory, lots of hard drive, and great graphics.",memory,1
720,"It has plenty of memory, lots of hard drive, and great graphics.",hard drive,1
721,"It has plenty of memory, lots of hard drive, and great graphics.",graphics,1
722,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,programs,1
723,It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,navigation,1
724,"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",hinge,-1
725,"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",LCD,0
726,My problem was with DELL Customer Service.,DELL Customer Service,-1
727,"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.",RMA service,1
728,Design: very durable.,Design,1
729,It is easy to go from one keyboard to another.,keyboard,0
730,Has a 5-6 hour battery life.,battery life,0
731,My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,screen/video resolution,-1
732,My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,resolution,-1
733,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",applications,0
734,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Dreamweaver,0
735,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Final Cut Pro 7,0
736,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Photoshop,0
737,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Safari,0
738,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Firefox,0
739,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",MSN Messenger,0
740,"  I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.",warrenty,-1
741,Ive had to call tech support many times.,tech support,0
742,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",Apple applications,1
743,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",iPhoto,1
744,Not to mention it has shit gigs.,gigs,-1
745,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",memory,0
746,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",17-inch screen,0
747,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",DVD,1
748,"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",CD burners,1
749,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",web browsing,1
750,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",uploading photos,1
751,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",watching movies,1
752,"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",creating presentations,1
753,"Quality Display  I love HP,, it's the only computer/printer we will buy.",Quality Display,1
755,"Despite the inconvenient weight, I opted for the 12 cell battery.",12 cell battery,1
756,The case is carved out of a single block of aluminum.,case,0
757,     First it burned or fused the power adapter plug.,power adapter plug,-1
758,"the features are great, the only thing it needs is better speakers.",features,1
759,"the features are great, the only thing it needs is better speakers.",speakers,-1
760,"It was still working, but there was nothing on the screen.",screen,-1
761,I bought this laptop and found its TAB is not functioning.,TAB,-1
762,  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.,extended warrenty,-1
763,"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3).",TFT panel,-1
764,"Navigation through the computer is far superior compared to Windows operating systems, as well.",Navigation,1
765,"Navigation through the computer is far superior compared to Windows operating systems, as well.",Windows operating systems,-1
766,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen,-1
767,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen size,-1
768,"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",bulk,-1
769,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",music software,-1
770,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",software,1
771,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",picture,-1
772,"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",video,-1
773,The much lauded combined touch pad and clicker is a nightmare.,combined touch pad and clicker,-1
774,"The Unibody construction is solid, sleek and beautiful.",Unibody construction,1
775,This MacBook is an outstanding product with great value.,value,1
776,I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,Windows,-1
777,I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,screen hinges,-1
778,A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,BATTERY,-1
780,A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,SERVICE,-1
781,and plenty of storage with 250 gb(though I will upgrade this and the ram..),storage,1
782,and plenty of storage with 250 gb(though I will upgrade this and the ram..),ram,0
783,"No temporary replacement, they are out of replacements because ""many computers had problems with the Nvidia chipset""-Inquired status of repair.",Nvidia chipset,-1
784,I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.,extended warranty,0
785,"Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.",Programs,-1
